i_ano_compt;i_mes_compt;i_desc_complex_proc;i_desc_estab_cnes;i_desc_proc_realizado;i_qtd;id
2023;1;Alta complexidade;0010456 - HBDF;0201010372 - BIOPSIA DE PELE E PARTES MOLES;6;55577
2023;1;Alta complexidade;0010456 - HBDF;0201010437 - BIOPSIA DE RIM POR PUNCAO ;1;55578
2023;1;Alta complexidade;0010456 - HBDF;0201010631 - PUNÇÃO LOMBAR ;1;55579
2023;1;Alta complexidade;0010456 - HBDF;0403010020 - CRANIOTOMIA DESCOMPRESSIVA;1;55580
2023;1;Alta complexidade;0010456 - HBDF;0403010039 - CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR ;0;55581
2023;1;Alta complexidade;0010456 - HBDF;0403010047 - CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO;4;55582
2023;1;Alta complexidade;0010456 - HBDF;0403010055 - CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO (C/ TECNICA COMPLEMENTAR);3;55583
2023;1;Alta complexidade;0010456 - HBDF;0403010128 - MICROCIRURGIA CEREBRAL ENDOSCOPICA;1;55584
2023;1;Alta complexidade;0010456 - HBDF;0403010292 - TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL (COM TECNICA COMPLEMENTAR) ;1;55585
2023;1;Alta complexidade;0010456 - HBDF;0403010390 - DRENAGEM LIQUÓRICA LOMBAR EXTERNA ;1;55586
2023;1;Alta complexidade;0010456 - HBDF;0403020018 - ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS) ;1;55587
2023;1;Alta complexidade;0010456 - HBDF;0403020050 - MICRONEUROLISE DE NERVO PERIFERICO;1;55588
2023;1;Alta complexidade;0010456 - HBDF;0403020093 - NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS ;1;55589
2023;1;Alta complexidade;0010456 - HBDF;0403030048 - CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO;2;55590
2023;1;Alta complexidade;0010456 - HBDF;0403030064 - HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR ;2;55591
2023;1;Alta complexidade;0010456 - HBDF;0403030080 - MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR;1;55592
2023;1;Alta complexidade;0010456 - HBDF;0403030145 - MICROCIRURGIA PARA TUMOR INTRACRANIANO;7;55593
2023;1;Alta complexidade;0010456 - HBDF;0403030153 - MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR) ;7;55594
2023;1;Alta complexidade;0010456 - HBDF;0403040094 - MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM ;2;55595
2023;1;Alta complexidade;0010456 - HBDF;0403050030 - BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO / CENTRAL COM BOMBA DE INFUSAO;5;55596
2023;1;Alta complexidade;0010456 - HBDF;0403070015 - ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO;1;55597
2023;1;Alta complexidade;0010456 - HBDF;0403070040 - EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO ESTREITO;2;55598
2023;1;Alta complexidade;0010456 - HBDF;0403070058 - EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO LARGO ;5;55599
2023;1;Alta complexidade;0010456 - HBDF;0403070082 - EMBOLIZAÇÃO DE FISTULA ARTERIO-VENOSA DA CABEÇA E PESCOÇO ;1;55600
2023;1;Alta complexidade;0010456 - HBDF;0403070120 - EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRAL;1;55601
2023;1;Alta complexidade;0010456 - HBDF;0403070155 - EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR QUE 1,5 CM COM COLO ESTREITO;1;55602
2023;1;Alta complexidade;0010456 - HBDF;0403070163 - EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO;3;55603
2023;1;Alta complexidade;0010456 - HBDF;0403080010 - IMPLANTE DE ELETRODO PARA ESTIMULAÇÃO CEREBRAL;1;55604
2023;1;Alta complexidade;0010456 - HBDF;0403080061 - NUCLEOTRACTOMIA TRIGEMINAL E/OU ESPINAL ;1;55605
2023;1;Alta complexidade;0010456 - HBDF;0404010059 - DRENAGEM DE ABSCESSO FARINGEO ;1;55606
2023;1;Alta complexidade;0010456 - HBDF;0404010342 - TAMPONAMENTO NASAL ANTERIOR E/OU POSTERIOR;0;55607
2023;1;Alta complexidade;0010456 - HBDF;0404010415 - TURBINECTOMIA ;1;55608
2023;1;Alta complexidade;0010456 - HBDF;0404020453 - OSTEOTOMIA DA MAXILA;2;55609
2023;1;Alta complexidade;0010456 - HBDF;0404020461 - OSTEOTOMIA DA MANDIBULA ;2;55610
2023;1;Alta complexidade;0010456 - HBDF;0404020720 - OSTEOSSÍNTESE DE FRATURA BILATERAL DO CÔNDILO MANDIBULAR;1;55611
2023;1;Alta complexidade;0010456 - HBDF;0405010133 - RECONSTITUICAO TOTAL DE PALPEBRA;3;55612
2023;1;Alta complexidade;0010456 - HBDF;0405040059 - DESCOMPRESSAO DE ORBITA ;1;55613
2023;1;Alta complexidade;0010456 - HBDF;0406010137 - CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL ;2;55614
2023;1;Alta complexidade;0010456 - HBDF;0406010536 - FECHAMENTO DE COMUNICAÇÃO INTERATRIAL ;1;55615
2023;1;Alta complexidade;0010456 - HBDF;0406010579 - IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO EPIMIOCÁRDICO POR TORACOTOMIA P/ IMPLANTE DE ELETRODO;1;55616
2023;1;Alta complexidade;0010456 - HBDF;0406010587 - IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÃMARA DUPLA TRANSVENOSO;1;55617
2023;1;Alta complexidade;0010456 - HBDF;0406010650 - IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA TRANSVENOSO;23;55618
2023;1;Alta complexidade;0010456 - HBDF;0406010676 - IMPLANTE DE MARCAPASSO DE CÂMARA ÚNICA TRANSVENOSO;2;55619
2023;1;Alta complexidade;0010456 - HBDF;0406010684 - IMPLANTE DE MARCAPASSO TEMPORÁRIO TRANSVENOSO ;1;55620
2023;1;Alta complexidade;0010456 - HBDF;0406010803 - PLÁSTICA VALVAR ;1;55621
2023;1;Alta complexidade;0010456 - HBDF;0406010820 - PLÁSTICA VALVAR E/OU TROCA VALVAR MÚLTIPLA;2;55622
2023;1;Alta complexidade;0010456 - HBDF;0406010862 - REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO ;1;55623
2023;1;Alta complexidade;0010456 - HBDF;0406010919 - RETIRADA DE SISTEMA DE ESTIMULAÇÃO CARDÍACA ARTIFICIAL;2;55624
2023;1;Alta complexidade;0010456 - HBDF;0406010927 - REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA ;2;55625
2023;1;Alta complexidade;0010456 - HBDF;0406010935 - REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS) ;10;55626
2023;1;Alta complexidade;0010456 - HBDF;0406010994 - TROCA DE ARCO AÓRTICO ;1;55627
2023;1;Alta complexidade;0010456 - HBDF;0406011036 - TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA;2;55628
2023;1;Alta complexidade;0010456 - HBDF;0406011044 - TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA ÚNICA;2;55629
2023;1;Alta complexidade;0010456 - HBDF;0406011125 - TROCA DE GERADOR DE MARCAPASSO DE CÂMARA DUPLA;14;55630
2023;1;Alta complexidade;0010456 - HBDF;0406011150 - TROCA DE GERADOR E DE ELETRODO DE MARCAPASSO DE CÂMARA ÚNICA;1;55631
2023;1;Alta complexidade;0010456 - HBDF;0406011168 - TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR ;1;55632
2023;1;Alta complexidade;0010456 - HBDF;0406011184 - TROCA DE GERADOR E DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA ;1;55633
2023;1;Alta complexidade;0010456 - HBDF;0406011206 - TROCA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA ;1;55634
2023;1;Alta complexidade;0010456 - HBDF;0406020078 - IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL) ;2;55635
2023;1;Alta complexidade;0010456 - HBDF;0406020183 - LINFADENECTOMIA MEDIASTINAL ;1;55636
2023;1;Alta complexidade;0010456 - HBDF;0406020302 - PLASTIA ARTERIAL COM REMENDO (QUALQUER TÉCNICA) ;2;55637
2023;1;Alta complexidade;0010456 - HBDF;0406020370 - PONTE-TROMBOENDARTERECTOMIA DE CARÓTIDA ;1;55638
2023;1;Alta complexidade;0010456 - HBDF;0406020388 - PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL;1;55639
2023;1;Alta complexidade;0010456 - HBDF;0406020442 - REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL ;4;55640
2023;1;Alta complexidade;0010456 - HBDF;0406020450 - REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA PROXIMAL ;1;55641
2023;1;Alta complexidade;0010456 - HBDF;0406020582 - TROCA DE AORTA DESCENDENTE (INCLUI ABDOMINAL) ;1;55642
2023;1;Alta complexidade;0010456 - HBDF;0406030014 - ANGIOPLASTIA CORONARIANA;1;55643
2023;1;Alta complexidade;0010456 - HBDF;0406030022 - ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS ;10;55644
2023;1;Alta complexidade;0010456 - HBDF;0406030030 - ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT;21;55645
2023;1;Alta complexidade;0010456 - HBDF;0406030049 - ANGIOPLASTIA CORONARIANA PRIMÁRIA ;1;55646
2023;1;Alta complexidade;0010456 - HBDF;0406030065 - ANGIOPLASTIA EM ENXERTO CORONARIANO ;1;55647
2023;1;Alta complexidade;0010456 - HBDF;0406030120 - VALVULOPLASTIA MITRAL PERCUTÂNEA;1;55648
2023;1;Alta complexidade;0010456 - HBDF;0406040028 - ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT) ;1;55649
2023;1;Alta complexidade;0010456 - HBDF;0406040052 - ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT) ;20;55650
2023;1;Alta complexidade;0010456 - HBDF;0406040095 - ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO OU TRONCOS SUPRA-AÓRTICOS (COM STENT NÃO RECOBERTO) ;1;55651
